@RELATION tcc

@ATTRIBUTE Hydro REAL
@ATTRIBUTE Avg REAL
@ATTRIBUTE Ctermhydro REAL
@ATTRIBUTE Ctermcharge NUMERIC
@ATTRIBUTE CtermHRK NUMERIC
@ATTRIBUTE mtp NUMERIC
@ATTRIBUTE sln REAL
@ATTRIBUTE coiledmedia NUMERIC
@ATTRIBUTE class {yes,,no}


@DATA
-155.80,-0.29,2.60,4,5,114,0.15,140,yes
-67.90,-0.17,-3.40,5,5,34,0.12,287,no
-8.60,-0.03,0.90,-2,2,79,0.14,180,no
-28.10,-0.08,9.00,0,2,337,0.16,103,no
-26.20,-0.09,-0.90,3,7,79,0.20,85,no
-59.70,-0.16,14.40,5,5,97,0.07,242,no
-263.30,-0.33,-21.50,-3,2,92,0.15,409,no
-238.70,-0.25,-20.50,2,3,212,0.20,318,no
-231.60,-0.28,-8.80,1,5,171,0.23,352,no
-192.10,-0.37,1.90,2,4,778,0.15,255,no
-44.70,-0.13,-28.40,2,4,7,0.11,229,no
-147.90,-0.44,21.90,-1,1,107,0.13,938,no
-253.20,-0.30,-23.00,0,5,275,0.10,406,no
189.80,0.32,-35.80,0,2,88,0.03,55,no
-232.90,-0.34,-25.80,0,4,46,0.80,145,no
-636.30,-0.44,-43.00,2,9,26,0.70,581,no
-75.90,-0.08,-27.00,0,3,52,0.10,936,no
-33.20,-0.12,8.90,0,2,241,0.20,49,no
-1.20,-0.01,-8.80,8,9,166,0.32,99,no
-72.20,-0.64,-23.60,6,6,64,0.17,609,no
67.30,0.24,6.50,0,2,24,0.02,248,no
-14.70,-0.06,8.30,0,3,40,0.05,657,no
-73.30,-0.22,-26.40,-4,3,75,0.07,48,no
-241.50,-0.21,-2.40,4,4,230,0.41,547,no
-62.40,-0.17,-27.70,8,9,91,0.31,35,no
-45.70,-0.14,8.50,0,3,641,0.15,37,no
-4.60,-0.01,-19.10,-3,2,149,0.02,3,no
-92.20,-0.33,-11.80,3,4,102,0.52,819,no
16.30,0.11,-6.80,-3,3,64,0.03,11,no
-24.40,-0.06,14.40,-1,3,673,0.12,493,no
14.90,0.08,-17.40,1,5,127,0.10,34,no
-125.60,-0.38,-28.80,-3,3,103,0.02,214,no
-54.70,-0.23,-5.90,2,4,65,0.05,219,no
-104.20,-0.25,-10.30,-1,4,165,0.04,176,no
-40.80,-0.06,19.20,-1,2,719,0.10,117,no
-60.10,-0.04,-11.90,0,5,66,0.50,147,no
-51.80,-0.16,-11.70,1,5,310,0.09,271,no
-69.60,-0.19,-19.50,-2,2,170,0.08,229,no
-3.20,-0.02,-8.20,-1,4,101,0.97,333,no
-30.90,-0.10,-9.60,4,6,58,0.80,236,no
350.30,0.34,22.40,3,3,100,0.10,569,no
-66.00,-0.13,0.70,0,4,60,0.10,471,no
-105.10,-0.18,-3.80,5,6,80,0.81,415,no
-38.20,-0.20,-28.70,-2,3,43,0.04,18,no
-9.10,-0.07,-31.80,1,6,276,0.25,5,no
-17.10,-0.10,24.00,4,4,86,0.08,21,no
174,1.11,30.10,3,3,7,0.07,11,no
-54.00,-0.08,-11.90,-1,2,77,0.06,902,no
-66.30,-0.41,-29.70,4,7,852,0.32,93,no
-82.80,-0.10,17.10,-5,0,53,0.10,558,no
67.60,0.29,19.40,1,3,111,0.05,188,no
120.20,0.60,-24.00,3,7,6,0.28,0,no
-16.20,-0.15,-3.40,0,4,55,0.11,27,no
-63.40,-0.22,3.20,5,5,92,0.02,6,no
11.70,0.04,-9.60,5,6,92,0.11,180,no
-626.80,-0.56,-36.20,4,5,596,0.91,885,no
-930.70,-0.52,-15.00,2,6,107,0.52,830,no
-53.80,-0.13,-3.90,-1,2,191,0.06,18,no
-59.10,-0.16,-17.10,2,6,103,0.10,499,no
197.40,0.39,15.80,2,3,28,0.09,146,no
-182.40,-0.28,-28.80,2,6,61,0.20,804,no
199.60,0.72,34.40,3,3,20,0.11,0,no
449.50,0.90,26.80,1,2,241,0.28,15,no
-50.60,-0.24,-18.30,6,7,80,0.12,303,no
-161.50,-0.11,2.40,-4,0,82,0.52,936,no
-139.70,-0.10,-6.90,0,5,133,0.21,278,no
-40.40,-0.24,-27.50,-5,3,58,0.04,134,no
-80.30,-0.20,16.30,-1,3,98,0.19,22,no
27.30,0.24,-4.20,3,5,41,0.08,2,no
116.30,0.36,-14.80,-1,4,210,0.09,17,no
-14.90,-0.13,-17.00,-1,3,100,0.05,27,no
-35.20,-0.04,-5.60,3,5,12,0.08,589,no
266.50,0.75,25.70,1,2,22,0.05,0,no
-35.60,-0.15,-6.00,1,4,70,0.03,20,no
